	NUMBER	ENGLISH	CHINESE	POS	STEDT_GLOSS	EVARS	CVARS	CONCEPTICON_ID	CONCEPTICON_GLOSS
601	601	string (oxhide) (thin / fine) (note:+thick)	牛皮绳 (粗~)	n	string (oxhide) (thin / fine)||ring in a cow's nose (used to lead it about)||string (oxhide)||string (oxhide) (thick / coarse)	string (oxhide) n||string (oxhide) (thick / coarse) (note:+thin) n	牛皮绳||牛皮绳 (细~)		
602	602	boat / ship (wooden) (note:+wooden)	船 (木船)	n	boat / ship (wooden)||boat / ship (cowhide)||boat / ship	boat / ship (cowhide) (note:+leather) n||boat / ship n	船 (牛皮~)||船		
603	603	raft	木筏	n	raft (bamboo)||raft	raft (bamboo) (note:bamboo_raft) n	木筏 (竹筏)		
604	604	tool	工具	n	tool				
605	605	axe	斧头	n	axe				
606	606	hammer	锤子	n	hammer||hammer (small)||hammer (big)	hammer (small) (note:+small) n||hammer (big) (note:+large) n	锤子 (小~)||锤子 (大~)		
607	607	chisel (round) (note:+round)	凿子 (园~)	n	chisel (square)||chisel (round)||chisel	chisel (square) (note:+square) n||chisel n	凿子 (方~)||凿子		
608	608	saw	锯子	n	saw				
609	609	drill / auger	钻子	n	drill / auger				
610	610	file (tool)	锉	n	file (tool)				
611	611	plane (tool)	刨子	n	plane (tool)				
612	612	marker (ink, carpenter's)	墨斗	n	marker (ink, carpenter's)||plane				
613	613	glue / gum	胶	n	glue / gum				
614	614	plow	犁	n	plow				
615	615	plowshare	铧	n	plowshare				
616	616	rake	耙	n	rake (iron-toothed)||rake (wooden)||rake	rake (wooden) (note:+wooden) n||rake (iron-toothed) n	耙 (木~)||耙 (钉~)		
617	617	hoe (pointed) (note:+small)	锄头 (小锄)	n	hoe (pointed)||hoe (small)||hoe (digging)||hoe	hoe n||hoe (small) (note:+sharp) n||hoe (digging) (note:+digging) n	锄头||锄头 (尖锄)||锄头 (挖锄)		
618	618	pole (carrying / shoulder)	扁担	n	pole (carrying / shoulder)				
619	619	rope / string	绳子	n	rope / string			1218	ROPE
620	620	wedge	楔子	n	wedge||wedge (wooden)	wedge (wooden) (note:+wooden) n	楔子 (木~)		
621	621	grip / handle	把儿(茶缸~)	n	grip / handle				
622	622	basket carried on the back	背篓	n	basket carried on the back (sparse strips)||basket carried on the back (sparse strips )||basket carried on the back (sharp-bottomed)||basket carried on the back (square-mouthed)||basket carried on the back (dense, uniform-sized)||basket carried on the back||basket carried on the back (dense strips)	basket carried on the back (dense, uniform-sized) n||basket carried on the back (dense strips) n||basket carried on the back (sharp-bottomed) n||basket carried on the back (sparse strips) n||basket carried on the back (square-mouthed) n	背篓 (稀条篓)||背篓 (方口篓)||背篓 ((密的,上下一样大的篓))||背篓 (尖底篓)||背篓 (密条篓)		
623	623	fertilizer / manure	肥料	n	fertilizer / manure				
624	624	net	镰刀	n	sickle||net	sickle n	镰刀	341	SICKLE
625	625	conduit (open, for water)	水槽	n	conduit (open, for water)				
626	626	trip-hammer for hulling rice	碓(水~)	n	trip-hammer for hulling rice (stone)||trip-hammer for hulling rice (wooden)||trip-hammer for hulling rice	trip-hammer for hulling rice (wooden) (note:+stone) n||trip-hammer for hulling rice (stone) (note:+wooden) n	碓(水~) (石~)||碓(水~) (木~)		
627	627	mortar (stone) (note:+stone)	臼 (石~)	n	mortar (rice-hulling trip-hammer)||mortar (wooden)||mortar||mortar (salt)||mortar (stone)||mortar (rice)	mortar (salt) (note:+rice) n||mortar (wooden) (note:+wooden) n||mortar (rice) (note:+salt) n||mortar n||mortar (rice-hulling trip-hammer) n	臼 (米~)||臼 (木~)||臼 (盐~)||臼||臼 (碓~)		
628	628	pestle	杵	n	pestle (big, wooden)||pestle (salt mortar)||pestle (rice-hulling trip-hammer)||pestle||pestle (small, stone)	pestle (big, wooden) n||pestle (salt mortar) (note:+salt) n||pestle (rice-hulling trip-hammer) n||pestle (small, stone) n	杵 (小石~)||杵 (盐臼~)||杵 (碓~)||杵 (大木~)		
629	629	sieve / sifter (coarse) (note:+thick)	筛子 (粗~)	n	sieve / sifter||sieve / sifter (fine)||sieve / sifter (coarse)	sieve / sifter n||sieve / sifter (fine) (note:+thin) n	筛子||筛子 (细~)		
630	630	fan (winnowing)	簸箕	n	fan (winnowing)				
631	631	millstones (small mill) (note:water-mill)	磨(石~) (水~)	n	water mill||millstones||millstones (small mill)	water mill (note:+hand_powered) n||millstones n	磨(石~) (小手碓~)||磨(石~)		
632	632	loom	织布机	n	loom				
633	633	chopper	柴刀	n	chopper				
634	634	sheath / scabbard	刀鞘	n	sheath / scabbard				
635	635	gun / rifle	枪	n	gun / rifle				
636	636	bow (for arrow)	弓	n	bow (for arrow)				
637	637	arrow	箭	n	arrow (poison, bamboo)||arrow||arrow (poison, with iron clusters)	arrow (poison, bamboo) (note:+bamboo +poisoned) n||arrow (poison, with iron clusters) (note:+iron +poisoned) n	箭 (毒竹~)||箭 (带铁*的毒~)		
638	638	snare / trap (for catching birds) (note:+bird)	圈套(捕兽~) ((捅鸟的)~)	n	snare / trap (made of metal)||snare / trap (cow hair rope)||snare / trap (for catching birds)||snare / trap	snare / trap (cow hair rope) n||snare / trap n||snare / trap (made of metal) (note:+metal) n	圈套(捕兽~) (牛毛绳套)||圈套(捕兽~)||圈套(捕兽~) ((金属制的)~)		
639	639	trap / pitfall	陷阱	n	trap / pitfall				
640	640	gunpowder	火药	n	gunpowder				
641	641	poison / toxin	毒	n	poison / toxin				
642	642	net	网	n	net				
643	643	character / word	字	n	character / word				
644	644	letter	信	n	letter				
645	645	painting	画	n	letter||painting				
646	646	book (Tibetan style long strips) (note:+Tibetan_scroll)	书 ((藏式长条)~)	n	book||book (Tibetan style long strips)||book (published using modern printing)	book n||book (published using modern printing) (note:+modern) n	书||书 ((现代印刷出版的)~)		
647	647	paper	纸	n	paper				
648	648	pen (writing instrument) (brush) (note:+bamboo)	笔 (竹~)	n	pen (writing instrument) (bamboo)||pen (writing instrument) (brush)||pencil||pen (writing instrument)	pen (writing instrument) (bamboo) (note:brush) n||pencil (note:pencil) n||pen (writing instrument) n	笔 (毛~)||笔 (铅~)||笔		
649	649	ink (Chinese)	墨	n	ink (Chinese)				
650	650	learning / knowledge	学问	n	learning / knowledge				
651	651	speech / words	话	n	speech / words				
652	652	story	故事	n	story				
653	653	proverb / saying	谚语	n	story||proverb / saying				
654	654	joke / jest	笑话	n	joke / jest				
655	655	riddle	谜语	n	riddle				
656	656	song (folk, sung in fields during or after work)	歌 (山~)	n	song (antiphonal)||song (folk)||song (folk, sung in fields during or after work)||song||song and dance	song and dance n||song (antiphonal) n||song (folk) n||song n	歌 (民~)||歌 (~舞)||歌 (对~)||歌		
657	657	dance (xian2zi dance, 3-stringed plucked instr)	舞蹈 (踢踏舞)	n	dance (xian2zi dance, 3-stringed plucked instr)||dance (guo1zhuang1, a Tibetan dance)||dance (step, tap)||dance	dance (step, tap) n||dance n||dance (guo1zhuang1, a Tibetan dance) n	舞蹈 (弦子舞~)||舞蹈||舞蹈 (锅庄舞)		
658	658	chess	棋	n	chess||drum				
659	659	drum (big) (note:+small)	鼓 (小手~)	n	gong||drum||drum (big)||drum (small, hand-drum)	drum (small, hand-drum) (note:+large) n||drum n	鼓 (大~)||鼓		
660	660	gong	锣	n	gong				
661	661	cymbals	钹	n	cymbals				
662	662	chime	钟	n	chime				
663	663	flute (bamboo)	笛子	n	flute (bamboo)				
664	664	flute (bamboo, vertical)	箫	n	flute (bamboo, vertical)||flute (bamboo,vertical)||flute (bamboo, vertical, of reed or rice stalks)	flute (bamboo, vertical, of reed or rice stalks) n	箫 ((用芦苇杆或稻杆制作的)~)		
665	665	instrument (two-stringed, bowed)	胡琴	n	instrument (two-stringed, bowed)				
666	666	bell (small) (note:+temple)	铃 ((庙里挂的)~)	n	bell (copper)||bell (iron, hung over necks of draught animals)||bell (small)||bell (hung in a temple)||bell	bell (hung in a temple) (note:+small) n||bell n||bell (copper) (note:+iron) n||bell (iron, hung over necks of draught animals) (note:+copper) n	铃 (小~)||铃||铃 (铁~(牲口肚子上挂的))||铃 (铜~)		
667	667	horn (woodwind)	喇叭(唢呐)	n	horn (woodwind)||horn (woodwind) (made of human bone)||horn (woodwind) (suo3na4--Mand. term)||horn (woodwind) (long)	horn (woodwind) (suo3na4--Mand. term) n||horn (woodwind) (made of human bone) (note:+human_bone) n||horn (woodwind) (long) (note:+long) n	喇叭(唢呐) (唢呐)||喇叭(唢呐) ((人骨制的)~)||喇叭(唢呐) (长~)		
668	668	celestial being	神仙	n	celestial being				
669	669	ghost / spirit	鬼	n	ghost / spirit				
670	670	spirit (evil) / demon	妖精	n	spirit (evil) / demon (woman)||spirit (evil) / demon	spirit (evil) / demon (woman) (note:+female) n	妖精 (女~)		
671	671	god of rain / Dragon King	龙王	n	god of rain / Dragon King				
672	672	Buddha	佛	n	Buddha				
673	673	soul / spirit	灵魂	n	soul / spirit (lit. 'ghost spirit')||soul / spirit	soul / spirit (lit. 'ghost spirit') (note:"ghost | spirit") n	灵魂 ("鬼魂")		
674	674	fortune / luck	运气	n	fortune / luck				
675	675	strength (physical)	力气	n	strength (physical)				
676	676	idea / opinion	想法	n	idea / opinion				
677	677	matter / affair	事情	n	matter / affair				
678	678	means / solution	办法	n	means / solution				
679	679	temper	脾气	n	temper				
680	680	news / message	信息	n	news / message				
681	681	mark / sign	记号	n	mark / sign				
682	682	birthday	生日	n	birthday				
683	683	life / livelihood	生活	n	life / livelihood				
684	684	gift / present	礼物	n	gift / present (offered as tribute)||gift / present||gift / present (offered as a gift)	gift / present (offered as a gift) (note:tribute) n||gift / present (offered as tribute) (note:present) n	礼物 (奉献物)||礼物 (赠送物)		
685	685	age	年纪	n	age				
686	686	surname / name (family)	姓	n	surname / name (family) (lit. 'house name')||surname / name (family)	surname / name (family) (lit. 'house name') (note:"house-name") n	姓 ("房名")		
687	687	name	名字	n	name			1405	NAME
688	688	pain / agony (emotional) (note:"arduous")	痛苦 ("辛苦")	n	pain / agony||pain / agony (emotional)	pain / agony n	痛苦		
689	689	mistake / error	错误	n	mistake / error				
690	690	danger	危险	n	danger				
691	691	difference / distinction	区别	n	difference / distinction				
692	692	part / portion / share	份儿	n	part / portion / share (lit. 'share')||part / portion / share	part / portion / share (lit. 'share') n	份儿 ("(一)股子")		
693	693	gap / crevice	空隙	n	gap / crevice				
694	694	crack / rift / fissure (in a board, stone, wall, etc.) (note:+board | stone | wall)	裂缝 ((指木板,石头,墙等的)~)	n	crack / rift / fissure||crack / rift / fissure (in a board, stone, wall, etc.)	crack / rift / fissure n	裂缝		
695	695	mark / trace / track	痕迹	n	mark / trace / track				
696	696	dregs / sediment	渣滓	n	dregs / sediment				
697	697	shape / appearance	样子	n	shape / appearance				
698	698	shadow	影子	n	shadow				
699	699	dream	梦	n	dream			2374	DREAM
700	700	advantage / benefit	好处	n	advantage / benefit				
701	701	use	用处	n	use				
702	702	color	颜色	n	color				
703	703	direction / orientation	方向	n	direction / orientation				
704	704	east	东(~方)	n	east (lit. 'sun rise place')||east	east (lit. 'sun rise place') (note:"sunrise-place") n	东(~方) ("太阳出处")		
705	705	south	南(~方)	n	south				
706	706	west (lit. 'sun set place') (note:"sunset-place")	西(~方) ("太阳落处")	n	west||west (lit. 'sun set place')	west n	西(~方)		
707	707	north	北(~方)	n	north				
708	708	middle	中间	n	middle			1093	MIDDLE
709	709	side	旁边	n	side				
710	710	left	左边	n/adv	left			244	LEFT
711	711	right	右边	n/adv	right			1019	RIGHT
712	712	front	前(~边)	n/adv	front			2194	FRONT (PART)
713	713	back	后(~边)	n/adv	back				
714	714	outside	外(~边)	n/adv	outside (distal)||outside (proximal)||outside	outside (distal) (note:+distal) n/adv||outside (proximal) (note:+proximal) n/adv	外(~边) ((远指))||外(~边) ((近指))	762	OUTSIDE
715	715	inside (the sea, a well) (note:+building)	里(~边) ((房屋)~)	n/adv	inside||inside (the sea, a well)||inside (a room)	inside n/adv||inside (a room) (note:+water_body) n/adv	里(~边)||里(~边) ((海,井)~)	1606	INSIDE
716	716	corner / angle	角儿	n	corner / angle||corner / angle (nook, concave)||corner / angle (edge, convex)	corner / angle (edge, convex) (note:+concave) n||corner / angle (nook, concave) (note:+convex) n	角儿 (角落)||角儿 (棱角)		
717	717	point / tip	尖儿	n	point / tip				
718	718	edge / rim / margin	边儿	n	edge / rim / margin				
719	719	surroundings	周围	n	surroundings (of a village)||surroundings (of a room)||surroundings	surroundings (of a room) (note:+village) n||surroundings (of a village) (note:+building) n	周围 ((村子)~)||周围 ((房屋)~)		
720	720	vicinity / nearby (of a village) (note:+village)	附近 ((村子)~)	n/adv	vicinity / nearby||vicinity / nearby (of a village)	vicinity / nearby n/adv	附近		
721	721	boundary line / demarcation line	界线	n	boundary line / demarcation line				
722	722	upper part of / upper reaches	上方(地势、河流)	n	upper part of / upper reaches (headwaters)||upper part of / upper reaches (proximal)||upper part of / upper reaches||upper part of / upper reaches (distal)	upper part of / upper reaches (proximal) (note:+distal) n||upper part of / upper reaches (headwaters) (note:upstream) n||upper part of / upper reaches (distal) (note:+proximal) n	上方(地势、河流) ((远指))||上方(地势、河流) (上游)||上方(地势、河流) ((近指))		
723	723	lower part of / lower reaches	下方(地势、河流)	n	lower part of / lower reaches (downstream)||lower part of / lower reaches	lower part of / lower reaches (downstream) (note:downstream) n	下方(地势、河流) (下游)		
724	724	on (the table)	上(桌子~)	prep	on (the table)				
725	725	under (the table)	下(桌子~)	prep	under (the table)				
726	726	in (the sky)	上(天~)	prep	in (the sky)				
727	727	under (the sky)	底下(天~)	prep	under (the sky)				
728	728	on (the wall)	上(挂在墙~)	prep	on (the wall)				
729	729	on top (of the roof)	顶上(房~)	prep	on top (of the roof)||on top (of a mountain)	on top (of a mountain) (note:+mountain) prep	顶上(房~) ((山)~)		
730	730	at the bottom of (a hill)	下(山~)	prep	at the bottom of (a hill)				
731	731	over / above	以上	prep	over / above			1741	ABOVE
732	732	below / under	以下	prep	below / under			1485	BELOW OR UNDER
733	733	upwards	往上	adv	upwards				
734	734	downwards	往下	adv	downwards				
735	735	upper half of the body	上半身	n	upper half of the body				
736	736	lower half of the body	下半身	n	lower half of the body				
737	737	time	时间	n	time				
738	738	today	今天	n/adv	today			1283	TODAY
739	739	yesterday	昨天	n/adv	yesterday			1174	YESTERDAY
740	740	day before yesterday	前天	n/adv	day before yesterday				
741	741	three days ago	大前天	adv	three days ago				
742	742	tomorrow	明天	n/adv	tomorrow			1329	TOMORROW
743	743	day after tomorrow	后天	n/adv	day after tomorrow				
744	744	three days from now	大后天	adv	three days from now				
745	745	tonight	今晚	n/adv	tonight				
746	746	tomorrow night / evening	明晚	n/adv	tomorrow night / evening				
747	747	yesterday evening / last night	昨晚	n/adv	yesterday evening / last night				
748	748	day (time)	白天	n	day (time)				
749	749	morning	早晨	n	morning			1339	MORNING
750	750	noon	中午	n	noon			12	MIDDAY
751	751	dusk / twilight	黄昏	n	dusk / twilight				
752	752	night, at / evening, in the	晚上	adv	night, at / evening, in the				
753	753	night, at	夜里	adv	night, at				
754	754	midnight	半夜	n/adv	midnight				
755	755	year of the mouse	子(鼠)	n	year of the mouse				
756	756	year of the ox	丑(牛)	n	year of the ox				
757	757	year of the tiger	寅(虎)	n	year of the tiger				
758	758	year of the rabbit	卯(兔)	n	year of the rabbit				
759	759	year of the dragon	辰(龙)	n	year of the dragon				
760	760	year of the snake	巳(蛇)	n	year of the snake				
761	761	year of the horse	午(马)	n	year of the horse				
762	762	year of the ram	未(羊)	n	year of the ram				
763	763	year of the monkey	申(猴)	n	year of the monkey				
764	764	year of the chicken	酉(鸡)	n	year of the chicken				
765	765	year of the dog	戌(狗)	n	year of the dog				
766	766	year of the pig	亥(猪)	n	year of the pig				
767	767	animals (twelve) (different system but analogous)	属相	n	animals (twelve) representing the twelve years||animals (twelve) (different system but analogous)	animals (twelve) representing the twelve years n	属相		
768	768	date (time)	日子	n	date (time)				
769	769	day (first of lunar month)	初一	n	day (first of lunar month)				
770	770	day (second of lunar month)	初二	n	day (second of lunar month)				
771	771	month	月	n	month				
772	772	January (year in which New Year is celebrated)	一月 (正月(过年的月份))	n	January (year in which New Year is celebrated)||January	January n	一月		
773	773	February (lit. 'second month') (note:"the second month")	二月 ("第二个月")	n	February||February (lit. 'second month')	February n	二月		
774	774	beginning of a month	月初	n	beginning of a month				
775	775	middle of a month	月中	n	middle of a month				
776	776	end of a month	月底	n	end of a month				
777	777	year	年	n	year			1226	YEAR
778	778	this year	今年	n/adv	this year				
779	779	last year	去年	n/adv	last year				
780	780	year before last	前年	n/adv	year before last				
781	781	next year	明年	n/adv	next year				
782	782	year after next	后年	n/adv	year after next				
783	783	past, in the	从前	adv	past, in the				
784	784	ancient times, in	古时候	adv	ancient times, in				
785	785	present, the (time)	现在	n	present, the (time)				
786	786	recently / lately	近来	adv	recently / lately				
787	787	future (near) (note:+proximal)	将来 ((指近期))	n	future (near)||future	future n	将来		
788	788	initially / beginning, in the	开始(~时)	adv	initially / beginning, in the				
789	789	Monday	星期一	n/adv	Monday				
790	790	Tuesday	星期二	n/adv	Tuesday				
791	791	spring (season)	春	n	spring (season) (lit. 'second, third months')||spring (season)	spring (season) (lit. 'second, third months') (note:{February,March") n	春 ("二,三月")		
792	792	summer (lit. 'rainy season') (note:"rainy season")	夏 ("雨季")	n	summer (lit. 'hot moon')||summer||summer (lit. 'rainy season')	summer (lit. 'hot moon') (note:"hot month") n||summer n	夏 ("热月")||夏		
793	793	fall / autumn	秋	n	fall / autumn				
794	794	winter (lit. 'dry season') (note:"dry season")	冬 ("旱季")	n	winter (lit. 'dry season')||winter	winter n	冬		
795	795	New Year's Day (in Burmese system, around April)	新年	n	New Year's Day (in Burmese system, around April)||New Year's Day	New Year's Day n	新年		
796	796	festival	节日	n	festival				
797	797	one	一	num	one			1493	ONE
798	798	two	二	num	two			1498	TWO
799	799	three	三	num	three			492	THREE
800	800	four	四	num	four			1500	FOUR
801	801	five	五	num	five			493	FIVE
802	802	six	六	num	six			1703	SIX
803	803	seven	七	num	seven			1704	SEVEN
804	804	eight	八	num	eight			1705	EIGHT
805	805	nine	九	num	nine			1483	NINE
806	806	ten	十	num	ten			1515	TEN
807	807	eleven	十一	num	eleven				
808	808	twelve	十二	num	twelve				
809	809	thirteen	十三	num	thirteen				
810	810	fourteen	十四	num	fourteen				
811	811	fifteen	十五	num	fifteen				
812	812	sixteen	十六	num	sixteen				
813	813	seventeen	十七	num	seventeen				
814	814	eighteen	十八	num	eighteen				
815	815	nineteen	十九	num	nineteen				
816	816	twenty	二十	num	twenty			1710	TWENTY
817	817	thirty	三十	num	thirty				
818	818	forty	四十	num	forty				
819	819	fifty	五十	num	fifty				
820	820	sixty	六十	num	sixty				
821	821	seventy	七十	num	seventy				
822	822	eighty	八十	num	eighty				
823	823	ninety	九十	num	ninety				
824	824	hundred	百	num	hundred			1634	HUNDRED
825	825	one hundred and one	一百零一	num	one hundred and one				
826	826	thousand	千	num	thousand				
827	827	ten thousand	万	num	ten thousand				
828	828	one hundred thousand	十万	num	one hundred thousand				
829	829	million	百万	num	million				
830	830	ten million	千万	num	ten million				
831	831	billion	亿	num	billion				
832	832	half	一半	num	half				
833	833	first	第一	num	first				
834	834	second	第二	num	second				
835	835	classifier for people	个(一~人)	clf	classifier for people				
836	836	classifier for bowls	个(一~碗)	clf	classifier for bowls				
837	837	classifier for river	条(一~河)	clf	classifier for river				
838	838	classifier for rope	条(一~绳子)	clf	classifier for rope				
839	839	sheet (of paper)	张(一~纸)	clf	sheet (of hide)||sheet (of paper)	sheet (of hide) clf	张(一~纸) ((一)张皮子)		
840	840	page	页(一~书)	clf	page				
841	841	classifier for eggs	个(一~鸡旦)	clf	classifier for eggs				
842	842	classifier for two birds	只(两~鸟)	clf	classifier for two birds||classifier for birds	classifier for birds clf	只(两~鸟)		
843	843	classifier for sticks (big) (note:+long)	根(一~棍子) ((用于修饰"大棍子"))	clf	classifier for sticks (big)||classifier for sticks||classifier for sticks (small)	classifier for sticks (small) (note:+short) clf||classifier for sticks clf	根(一~棍子) ((用于修饰"小棍子"))||根(一~棍子)		
844	844	blade (of grass)	根(一~草)	clf	blade (of grass)				
845	845	grain (of rice)	粒(一~米)	clf	grain (of rice)				
846	846	classifier for brooms	把(一~扫帚)	clf	classifier for brooms				
847	847	classifier for knives	把(一~刀)	clf	classifier for knives				
848	848	classifier for trees	棵(一~树)	clf	classifier for trees				
849	849	classifier for two books	本(两~书)	clf	classifier for two books||classifier for books	classifier for books clf	本(两~书)		
850	850	line (of wheat)	行(一~麦子)	clf	line (of wheat)				
851	851	classifier for bridges	座(一~桥)	clf	classifier for bridges				
852	852	bunch / bundle (of vegetable)	把(一~菜)	clf	bunch / bundle (of vegetable)				
853	853	handful (of rice)	把(一~米)	clf	handful (of rice)				
854	854	classifier for pens	枝(一~笔)	clf	classifier for pens				
855	855	pile (of excrement)	堆(一~粪)	clf	pile (of excrement)				
856	856	bucket (of water)	桶(一~水)	clf	bucket (of water)				
857	857	bowl (of cooked rice)	碗(一~饭)	clf	bowl (of cooked rice)				
858	858	patch (of ground / field)	块(一~地)	clf	patch (of ground / field)				
859	859	classifier for rocks, stones	块(一~石头)	clf	classifier for rocks, stones				
860	860	classifier for leaves	片(一~树叶)	clf	classifier for leaves				
861	861	classifier for flowers	朵(一~花)	clf	classifier for flowers				
862	862	sentence (of speech)	句(一~话)	clf	sentence (of speech)				
863	863	classifier for songs	首(一~歌)	clf	classifier for songs				
864	864	classifier for garments	件(一~衣)	clf	classifier for garments				
865	865	pair (of shoes)	双(一~鞋)	clf	pair (of shoes)				
866	866	pair (of rabbits)	对(一~兔子)	clf	pair (of rabbits)				
867	867	flock (of sheep)	群(一~羊)	clf	load (of firewood) on the back||flock (of sheep)	load (of firewood) on the back clf	群(一~羊)		
868	868	section (of road / journey)	段(一~路)	clf	section (of road / journey)				
869	869	section (of bamboo between two joints)	节(一~竹子)	clf	section (of bamboo between two joints)				
870	870	day's (journey)	天(一~路)	clf	day's (journey)				
871	871	classifier for one of a pair	只(一~鞋)	clf	classifier for one of a pair				
872	872	roll (of cloth)	卷(一~布)	clf	roll (of cloth)				
873	873	bolt (of cloth)	匹(一~布)	clf	bolt (of cloth)				
874	874	square (area unit for selling cloth)	方(一~布)	clf	square (area unit for selling cloth)				
875	875	basketful (of vegetable)	筐(一~菜)	clf	basketful (of vegetable)||basketful (of vegetable) (carried on back)	basketful (of vegetable) (carried on back) clf	筐(一~菜) ("(一)篓菜")		
876	876	load (of firewood) on the back	背(一~柴)	clf	load (of firewood) on the back				
877	877	bundle / sheaf	捆(一~)	clf	bundle / sheaf				
878	878	load of cupped-hands	捧(一~)	clf	load of cupped-hands				
879	879	classifier for age of animals (cows) (note:+horse)	岁口(一~牛、马) ((马的)~)	clf	classifier for age of animals (cows)||classifier for age of animals||classifier for age of animals (horses)	classifier for age of animals (horses) (note:+cow) clf||classifier for age of animals clf	岁口(一~牛、马) ((牛的)~)||岁口(一~牛、马)		
880	880	load on an animal's back	驮(一~)	clf	load on an animal's back				
881	881	bowl (of tobacco) (lit. 'pole / shaft')	袋(抽一~烟) ("杆")	clf	bowl (of tobacco)||bowl (of tobacco) (lit. 'pole / shaft')	bowl (of tobacco) clf	袋(抽一~烟)		
882	882	team / line (of people (&animals))	队(一~人马)	clf	team / line (of people (&animals))				
883	883	row (of houses)	排(一~房子)	clf	row (of houses)				
884	884	string (of beads)	串(一~珠子)	clf	string (of beads)				
885	885	drop (of oil)	滴(一~油)	clf	drop (of oil)				
886	886	classifier for flags	面(一~旗子)	clf	classifier for flags (lit. 'pole / shaft')||classifier for flags	classifier for flags (lit. 'pole / shaft') clf	面(一~旗子) ("杆")		
887	887	story (of building)	层(两~楼)	clf	story (of building)				
888	888	classifier for letters	封(一~信)	clf	classifier for letters				
889	889	classifier for rooms	间(一~房)	clf	classifier for rooms				
890	890	parcel / sack (of things)	包(一~东西)	clf	parcel / sack (of medicine)||parcel / sack (of vegetables)||parcel / sack (of things)||parcel / sack (of presents)	parcel / sack (of vegetables) clf||parcel / sack (of medicine) clf||parcel / sack (of presents) clf	包(一~东西) ((一)~(礼品))||包(一~东西) ((一)~(药))||包(一~东西) ((一)~(柴))		
891	891	bottle (of wine)	瓶(一~酒)	clf	bottle (of wine)				
892	892	puddle (of mud)	滩(一~泥)	clf	puddle (of mud)				
893	893	measure of weight (Tibetan 'big')	斤(一~) ((藏式大斤))	clf	measure of weight (Tibetan 'big')||measure of weight (Tibetan 'small')||measure of weight (=1 / 2 kilogram)	measure of weight (Tibetan 'small') clf||measure of weight (=1 / 2 kilogram) clf	斤(一~) ((藏式小斤))||斤(一~)		
894	894	tael (=50 grams)	两(一~)	clf	tael (= .01 of Burmese jin1 (catty), =16.46g)||tael (=50 grams)	tael (= .01 of Burmese jin1 (catty), =16.46g) clf	两(一~) ((一缅两等于百分之一缅斤，即16.46克))		
895	895	m.o.w. borrowed from Eng. 'ounce' (=0.1 tael)	钱(两~) (英语借词"盎司")	clf	m.o.w. borrowed from Eng. 'ounce' (=0.1 tael)||measure of weight (=0.1 tael)	measure of weight (=0.1 tael) clf	钱(两~)		
896	896	unit of dry measure for grain (lit. 'small liter')	斗(一~) ("小升")	clf	unit of dry measure for grain (=1 decaliter)||unit of dry measure for grain (lit. 'small liter')	unit of dry measure for grain (=1 decaliter) clf	斗(一~)		
897	897	liter	升(一~)	clf	liter				
898	898	mile (=0.5 kilometer) (borr. from Ch. 'gong1li3')	里(一~) ("公里")	clf	mile (=0.5 kilometer) (borr. from Eng. 'mile')||mile (=0.5 kilometer)||mile (=0.5 kilometer) (borr. from Ch. 'gong1li3')	mile (=0.5 kilometer) (borr. from Eng. 'mile') clf||mile (=0.5 kilometer) clf	里(一~) ("英里")||里(一~)		
899	899	fathom	庹(一~)	clf	fathom				
900	900	foot (=1 / 3 meter)	尺(一~)	clf	foot (=1 / 3 meter)				
901	901	span (thumb to index finger)	拃(一~) ((拇指与中指张开的长度))	clf	span (thumb to index finger)||span (thumb to middle finger)	span (thumb to middle finger) clf	拃(一~)		
902	902	fingersbreadth	指(一~宽)	clf	fingersbreadth				
903	903	cubit	肘(一~的长度)	clf	cubit				
904	904	team (of oxen)	架(一~牛)	clf	team (of oxen) (lit. 'pair', from Ch. 'shuang1')||team (of oxen)	team (of oxen) (lit. 'pair', from Ch. 'shuang1') clf	架(一~牛) ("双")		
905	905	inch	寸(一~)	clf	inch				
906	906	yuan (Chinese money)	元(一~)	clf	yuan (Chinese money) (renminbi)||yuan (Chinese money) (silver dollar)||yuan (Chinese money) (lit. = clf. for flat obj.)||yuan (Chinese money)	yuan (Chinese money) (lit. = clf. for flat obj.) clf||yuan (Chinese money) (renminbi) clf||yuan (Chinese money) (silver dollar) clf	元(一~) ((一)"张")||元(一~) ((指人民币))||元(一~) ((一)"元")		
907	907	ten cents	角(一~)	clf	ten cents				
908	908	hectare, 1 / 15 of	亩(一~)	clf	hectare, 1 / 15 of				
909	909	while, a	一会儿	adv	while, a				
910	910	day's (work)	天(一~)	clf	day's (work)				
911	911	night's (work)	夜(一~)	clf	night's (work)				
912	912	month's (work)	月(一个~)	clf	month's (work)				
913	913	year's (work)	年(一~)	clf	year's (work)				
914	914	classifier for age	岁(一~)	clf	classifier for age				
915	915	lifetime	辈子(一~)	clf	lifetime				
916	916	step / stride	步(走一~)	clf	step / stride				
917	917	time / instance (of going somewhere)	次(去~)	clf	time / instance (of going somewhere)				
918	918	meal	顿(吃一~)	clf	meal				
919	919	shout	声(喊一~)	clf	shout				
920	920	time / instance (of hitting)	下(打一~)	clf	time / instance (of hitting)				
921	921	time / instance (of kicking)	脚(踢一~)	clf	time / instance (of kicking)				
922	922	time / instance (of biting)	口(咬一~)	clf	time / instance (of biting)				
