	NUMBER	GLOSS	Huang_Chinese	English_Macy_edit	English	Huang_STEDT_English	English_by_concepticon	CONCEPTICON_ID	CONCEPTICON_GLOSS	SIMILARITY	Note
93	Chen-2013-888-94	肩膀	扛	shoulder	shoulder	shoulder	shoulder	1482	SHOULDER	2	
94	Chen-2013-888-95	背	背	back	back	back	back	1291	BACK	2	
95	Chen-2013-888-96	胸脯	箱子	chest / box / trunk			chest / box / trunk	1592	CHEST	2	
96	Chen-2013-888-97	肚子	肚子(腹部)	belly			belly	1251	BELLY	2	
97	Chen-2013-888-98	肚脐	肚脐	navel	navel	navel	navel	1838	NAVEL	2	
98	Chen-2013-888-99	腰	腰	waist	waist	waist	waist	1681	WAIST	2	
99	Chen-2013-888-100	屁股	屁股	buttocks	buttocks	buttocks	buttocks	834	BUTTOCKS	2	
100	Chen-2013-888-101	肛门	肛门	anus	anus	anus	anus	1935	ANUS		
101	Chen-2013-888-102	腿		leg				1297	LEG	2	
102	Chen-2013-888-103	脚	和(~泥) ((用脚)踩)	foot	foot	foot	mix (powder) with water (stomp w / feet)	1301	FOOT	2	
103	Chen-2013-888-104	手	手	hand	hand	hand	hand	1277	HAND	2	
104	Chen-2013-888-105	手指	手指	finger	finger	finger	finger	1303	FINGER	2	
105	Chen-2013-888-106	指甲		nail	nail	nail		1258	FINGERNAIL	2	
106	Chen-2013-888-107	拳	拳 ((实心的)~)	fist (solid) (note:-hollow)			fist (solid) (note:-hollow)	1473	FIST		
107	Chen-2013-888-108	皮肤	皮肤	skin	skin	skin	skin	763	SKIN	2	
108	Chen-2013-888-109	筋	筋	tendon / sinew	tendon / sinew	tendon / sinew	tendon / sinew	1137	TENDON	2	
109	Chen-2013-888-110	脑髓	脑髓	brains	brains	brains	brains	1583	BRAIN		
110	Chen-2013-888-111	骨头	骨头	bone	bone	bone	bone	1394	BONE	2	
111	Chen-2013-888-112	牙齿	牙齿	tooth	tooth	tooth	tooth	1380	TOOTH	2	
112	Chen-2013-888-113	舌	舌头	tongue			tongue	1205	TONGUE	2	
113	Chen-2013-888-114	喉咙	喉咙	throat	throat	throat	throat	1346	THROAT	2	
114	Chen-2013-888-115	肺	肺	lung	lung	lung	lung	688	LUNG	2	
115	Chen-2013-888-116	心脏	心脏	heart	heart	heart	heart	1223	HEART	2	
116	Chen-2013-888-117	肝	肝	liver	liver	liver	liver	1224	LIVER	2	
117	Chen-2013-888-118	胃	胃 ((牛,羊)~)	stomach			stomach (cow, goat) (note:+livestock {lit. cow, sheep})	819	STOMACH	2	
118	Chen-2013-888-119	胆		gall bladder	gall bladder	gall bladder					add Gallbladder
119	Chen-2013-888-120	血	血	blood	blood	blood	blood	946	BLOOD	2	
120	Chen-2013-888-121	奶汁	奶汁	milk	milk	milk||milk (cow's)	milk	635	MILK		
121	Chen-2013-888-122	屎	屎	excrement	excrement	excrement	excrement	675	FAECES (EXCREMENT)	2	
122	Chen-2013-888-123	肠子	肠子	intestine	intestine	intestine	intestine	1991	INTESTINES	2	
123	Chen-2013-888-124	尿	尿	urine	urine	urine	urine	1142	URINE	2	
124	Chen-2013-888-125	汗		sweat	sweat	sweat		2458	PERSPIRE OR SWEAT	2	
125	Chen-2013-888-126	口水	口水	saliva	saliva	saliva	saliva	1503	SALIVA	2	
126	Chen-2013-888-127	鼻涕	鼻涕	mucus (nasal)	mucus (nasal)	mucus (nasal)	mucus (nasal)	208	NASAL MUCUS (SNOT)	2	
127	Chen-2013-888-128	眼泪	眼泪	tears	tears	tears	tears	1651	TEAR (OF EYE)	2	
128	Chen-2013-888-129	脓	脓	pus	pus	pus	pus	1808	PUS	2	
129	Chen-2013-888-130	牛	母牛	cow	cattle	cattle	cow	1007	COW	2	
130	Chen-2013-888-131	水牛		buffalo	buffalo	buffalo		2516	WATER BUFFALO	2	
131	Chen-2013-888-132	黄牛	牛	cattle			cattle	1153	CATTLE	2	
132	Chen-2013-888-133	母牛	母牛	cow	cow	cow	cow	1007	COW	2	
133	Chen-2013-888-134	公牛	公牛	bull	bull	bull	bull	1008	BULL	2	
134	Chen-2013-888-135	牛犊		young cattle							
135	Chen-2013-888-136	（牛）角	犄角	horn			horn	1393	HORN (ANATOMY)	4	
136	Chen-2013-888-137	蹄	蹄 (奇数~)	hoof (odd number) (note:+odd_toed)			hoof (odd number) (note:+odd_toed)	152	HOOF	2	
137	Chen-2013-888-138	皮	皮肤	skin			skin	763	SKIN	2	
138	Chen-2013-888-139	毛		hair				580	FUR	2	
139	Chen-2013-888-140	尾巴	尾巴	tail	tail	bee||tail	tail	1220	TAIL	2	
140	Chen-2013-888-141	马	岁口(一~牛、马) ((马的)~)	horse		horse	classifier for age of animals (cows) (note:+horse)	615	HORSE	2	
141	Chen-2013-888-142	羊		sheep (general)	sheep (general)	sheep (general)		2684	CAPRINE (GOAT OR SHEEP)	2	
142	Chen-2013-888-143	猪	猪	pig	pig	pig	pig	1337	PIG	2	
143	Chen-2013-888-144	狗	猎狗	dog	dog	dog	hound	2009	DOG	2	
144	Chen-2013-888-145	猫	猫	cat	cat	cat	cat	1208	CAT	2	
145	Chen-2013-888-146	兔子		rabbit	rabbit	rabbit		2345	LEPORID (RABBIT OR HARE)	2	
146	Chen-2013-888-147	鸡	鸡	chicken	chicken	chicken	chicken	1318	CHICKEN	2	
147	Chen-2013-888-148	公鸡	公鸡	cock	cock	cock	cock	1511	ROOSTER	2	
148	Chen-2013-888-149	母鸡	母鸡	hen	hen	hen	hen	1514	HEN	2	
149	Chen-2013-888-150	鸡冠		cockscomb	cockscomb	cockscomb					add cockscomb
150	Chen-2013-888-151	爪子	爪子	claw / talon	claw / talon	claw / talon||claw / talon (chicken's rear claws)	claw / talon	72	CLAW	2	
151	Chen-2013-888-152	翅膀	翅膀	wing	wing	wing	wing	1257	WING	2	
152	Chen-2013-888-153	鸭子	鸭子 (家鸭)	duck (domestic) (note:+domestic)			duck (domestic) (note:+domestic)	1360	DUCK	2	
153	Chen-2013-888-154	鹅	大雁	goose (wild)	goose	goose	goose (wild)	1187	GOOSE	2	
154	Chen-2013-888-155	鸽子	斑鸠	turtledove	dove	dove	turtledove	1853	DOVE	2	
155	Chen-2013-888-156	老虎	老虎	tiger	tiger	tiger	tiger	846	TIGER	2	
156	Chen-2013-888-157	猴子	猴子	monkey	monkey	monkey	monkey	1350	MONKEY	2	
157	Chen-2013-888-158	熊	熊	bear	bear	bear	bear	1820	BEAR	2	
158	Chen-2013-888-159	野猪	野猪	boar (wild)	boar (wild)	boar (wild)	boar (wild)	1348	BOAR	2	
159	Chen-2013-888-160	穿山甲		pangolin				2508	PANGOLIN		
160	Chen-2013-888-161	老鼠		mouse	mouse	mouse		2139	MUROID (MOUSE OR RAT)	2	
161	Chen-2013-888-162	黄鼠狼		weasel (yellow)	weasel (yellow)	weasel (yellow)					
162	Chen-2013-888-163	狐狸	狐狸	fox	fox	fox	fox	1312	FOX	2	
163	Chen-2013-888-164	鸟	鸟	bird	bird	bird	bird	937	BIRD	2	
164	Chen-2013-888-165	鸟窝	鸟窝	nest (bird)	nest (bird)	nest (bird)	nest (bird)	539	NEST		
165	Chen-2013-888-166	老鹰	雕	kite (black-eared) / hawk	kite (black-eared) / hawk	kite (black-eared) / hawk	eagle / vulture	1905	EAGLE	2	
166	Chen-2013-888-167	猫头鹰	猫头鹰	owl	owl	owl	owl	735	OWL		
167	Chen-2013-888-168	燕子	燕子	swallow	swallow	swallow	swallow	3077	SWALLOW (BIRD)	2	
168	Chen-2013-888-169	麻雀	麻雀	sparrow	sparrow	sparrow	sparrow	1854	SPARROW	2	
169	Chen-2013-888-170	乌鸦	乌鸦	crow	crow	crow||pheasant	crow	913	CROW	2	
170	Chen-2013-888-171	野鸡	野鸡	pheasant	pheasant	pheasant (short-tailed)||pheasant||pheasant (long-tailed)	pheasant	3060	PHEASANT		
171	Chen-2013-888-172	斑鸠	斑鸠	turtledove	turtledove	turtledove	turtledove	1853	DOVE	2	
172	Chen-2013-888-173	啄木鸟	啄木鸟	woodpecker	woodpecker	woodpecker	woodpecker	2447	WOODPECKER		
173	Chen-2013-888-174	蛇	蛇	snake	snake	snake	snake	730	SNAKE	2	
174	Chen-2013-888-175	青蛙	青蛙	frog	frog	frog	frog	503	FROG	2	
175	Chen-2013-888-176	鱼	鱼	fish	fish	fish	fish	227	FISH	2	
176	Chen-2013-888-177	鳞	鳞	scale	scale	scale	scale	266	SCALE		
177	Chen-2013-888-178	黄鳝		eel							
178	Chen-2013-888-179	泥鳅		loach							
179	Chen-2013-888-180	虾		shrimp				2349	SHRIMP		
180	Chen-2013-888-181	螃蟹		crab				2348	CRAB	2	
181	Chen-2013-888-182	螺蛳		spiral shell							add water snail
182	Chen-2013-888-183	蚂蟥	蚂蟥	leech	leech	leech||leech (water)||leech (mountain, arid area)	leech	2273	LEECH		
183	Chen-2013-888-184	虫		bug				1027	BUG	2	
184	Chen-2013-888-185	臭虫	臭虫	bedbug	bedbug	bedbug	bedbug	1949	BEDBUG	2	
185	Chen-2013-888-186	虱子	虱	louse			louse	1392	LOUSE	2	
186	Chen-2013-888-187	苍蝇	苍蝇	fly	fly	fly	fly	1504	FLY (INSECT)	2	
187	Chen-2013-888-188	蛆		maggot				2640	LARVA	2	
188	Chen-2013-888-189	蚊子	蚊子 ((较大的)~)	mosquito (relatively small) (note:+larger)			mosquito (relatively small) (note:+larger)	1509	MOSQUITO	2	
189	Chen-2013-888-190	蜘蛛	蜘蛛	spider	spider	spider	spider	843	SPIDER	2	
190	Chen-2013-888-191	蚯蚓	蚯蚓	earthworm	earthworm	earthworm	earthworm	2350	EARTHWORM	2	
191	Chen-2013-888-192	蛔虫		roundworms							add roundworms
192	Chen-2013-888-193	蚂蚁	蚂蚁	ant	ant	ant	ant	587	ANT	2	
193	Chen-2013-888-194	蜜蜂	蜜蜂	bee	bee	bee	bee	665	BEE	2	
194	Chen-2013-888-195	马蜂		wasp				1517	WASP		
195	Chen-2013-888-196	马蜂窝		Hornet`s nest							
196	Chen-2013-888-197	螳螂		mantis							add mantis
197	Chen-2013-888-198	蜻蜓	蜻蜓	dragonfly	dragonfly	dragonfly	dragonfly	2352	DRAGONFLY	2	
198	Chen-2013-888-199	蝴蝶	蝴蝶	butterfly	butterfly	butterfly	butterfly	1791	BUTTERFLY	2	
199	Chen-2013-888-200	树	树	tree	tree	tree	tree	906	TREE	2	
200	Chen-2013-888-201	树干	树干	trunk	trunk	tree||trunk	trunk	344	TREE TRUNK		
201	Chen-2013-888-202	樹枝	树枝	branch / twig			branch / twig	1531	BRANCH		
202	Chen-2013-888-203	树梢		tree top							
203	Chen-2013-888-204	树根	根	root			root	670	ROOT		
204	Chen-2013-888-205	叶子	叶子	leaf	leaf	leaf	leaf	628	LEAF	2	
205	Chen-2013-888-206	花	花	flower	flower	flower	flower	239	FLOWER	2	
206	Chen-2013-888-207	果子	"水果 (""梨桃杏"")"	"fruit (lit. 'pear peach apricot') (note:""plum-peach-apricot"")"			"fruit (lit. 'pear peach apricot') (note:""plum-peach-apricot"")"	1507	FRUIT		
207	Chen-2013-888-208	芽	蓓蕾	bud			bud	1684	BUD	2	
208	Chen-2013-888-209	杉树		fir (China) (mid-elevation 'hanging' fir)			fir (China) (mid-elevation 'hanging' fir)	1915	FIR	2	
209	Chen-2013-888-210	松树	松树 ((老人语))	pine (said by youth) (note:+elderly{speech})			pine (said by youth) (note:+elderly{speech})	1740	PINE	2	
210	Chen-2013-888-211	桃	桃子	peach			peach	2043	PEACH		
211	Chen-2013-888-212	李子		plum							
212	Chen-2013-888-213	梨	梨 ((小黄)~)	pear (flat: Ch. 'bian3 li2') (note:+small +yellow)			pear (flat: Ch. 'bian3 li2') (note:+small +yellow)	922	PEAR	2	
213	Chen-2013-888-214	橘子		orange				2627	ORANGE (FRUIT)		
214	Chen-2013-888-215	柿子	柿子	persimmon	persimmon	persimmon (big)||persimmon||persimmon (small)||persimmon (dried)||persimmon (fresh)	persimmon	2044	PERSIMMON	2	
215	Chen-2013-888-216	葡萄	葡萄	grape	grape	grape	grape	920	GRAPE	2	
216	Chen-2013-888-217	竹子	竹子 (粗~)	bamboo (thick, coarse) (note:+thick)			bamboo (thick, coarse) (note:+thick)	1927	BAMBOO	2	
217	Chen-2013-888-218	藤子	藤子 (藤竹)	cane / vine (tendrilled) (note:+bamboo)			cane / vine (tendrilled) (note:+bamboo)	2497	RATTAN		
218	Chen-2013-888-219	苎麻		ramie				3063	RAMIE	2	
219	Chen-2013-888-220	刺	刺儿	thorn / splinter			thorn / splinter	124	THORN	2	
220	Chen-2013-888-221	水稻	水田	paddy field	rice (paddy)	rice (paddy)	paddy field	429	SWIDDEN FIELD	2	
221	Chen-2013-888-222	种子	种子	seed	seed	seed	seed	714	SEED	2	
222	Chen-2013-888-223	秧	秧	seedling (rice)	seedling (rice)	seedling (rice)	seedling (rice)	3050	SEEDLING		
223	Chen-2013-888-224	包谷		maize							
224	Chen-2013-888-225	高粱		sorghum				347	SORGHUM	2	
225	Chen-2013-888-226	粟	粮食	foodstuff / grain			foodstuff / grain	605	GRAIN		
226	Chen-2013-888-227	菜	蔬菜	vegetable			vegetable	924	VEGETABLES	2	
227	Chen-2013-888-228	白菜		cabbage				774	CABBAGE	2	
228	Chen-2013-888-229	油菜		rape							
229	Chen-2013-888-230	韭菜		chives							
230	Chen-2013-888-231	萝卜		radish	radish	radish		3062	TURNIP	2	
231	Chen-2013-888-232	芋头		taro				351	TARO	2	
232	Chen-2013-888-233	茄子		egg plant				1146	AUBERGINE	2	
233	Chen-2013-888-234	辣椒	辣椒	pepper (hot) / chili	pepper (hot) / chili	pepper (hot) / chili	pepper (hot) / chili	919	CHILI PEPPER	2	
234	Chen-2013-888-235	葱	葱	onion / scallion	onion / scallion	onion / scallion	onion / scallion	2366	ONION	2	
235	Chen-2013-888-236	蒜	蒜	garlic	garlic	garlic	garlic	2368	GARLIC	2	
236	Chen-2013-888-237	姜	姜	ginger	ginger	ginger	ginger	2500	GINGER		
237	Chen-2013-888-238	红薯		sweet potato				159	SWEET POTATO		
238	Chen-2013-888-239	笋		bamboo shoot				2494	BAMBOO SHOOT		
239	Chen-2013-888-240	瓜		melon / gourd	melon / gourd	melon / gourd		507	MELON	2	
240	Chen-2013-888-241	瓜藤		melon vine				343	VINE		
241	Chen-2013-888-242	瓜子									
242	Chen-2013-888-243	南瓜	南瓜	pumpkin	pumpkin	pumpkin	pumpkin	864	PUMPKIN	2	
243	Chen-2013-888-244	西瓜		water melon				2766	WATERMELON	2	
244	Chen-2013-888-245	黄瓜	黄瓜	cucumber	cucumber	cucumber	cucumber	496	CUCUMBER	2	
245	Chen-2013-888-246	葫芦	瓜	melon / gourd			melon / gourd	411	GOURD		
246	Chen-2013-888-247	冬瓜	瓜	melon / gourd			melon / gourd	411	GOURD	2	
247	Chen-2013-888-248	豆		pea / bean	pea / bean	pea / bean		832	BEAN	2	
248	Chen-2013-888-249	黄豆		soya bean	soya bean	soya bean		2027	SOYA	2	
249	Chen-2013-888-250	豇豆		cowpea							
250	Chen-2013-888-251	花生	花生	peanut	peanut	peanut	peanut	2364	PEANUT	2	
251	Chen-2013-888-252	芝麻	芝麻	sesame	sesame	sesame	sesame	2797	SESAME		
252	Chen-2013-888-253	草	草 (小~)	grass (not eaten by draught animals) (note:+small)			grass (not eaten by draught animals) (note:+small)	606	GRASS	2	
253	Chen-2013-888-254	茅草		thatch				279	THATCH		
254	Chen-2013-888-255	蓝靛苗		Indigo Miao (a tribe name, they are Yao people)							
255	Chen-2013-888-256	蕨菜									add Bracken
256	Chen-2013-888-257	蘑菇	"木耳 (""老人耳朵"")"	mushroom	mushroom	mushroom||mushroom (white)||mushroom (yellow)	"fungus (edible) (lit. 'mouse's ear') (note:""old-person ear"")"	641	MUSHROOM	2	
257	Chen-2013-888-258	木耳		"fungus (edible) (lit. 'mouse's ear') (note:""old-person ear"")"							a kind of fungus. for eating
258	Chen-2013-888-259	米	谷粒	rice	rice	rice	rice (unhusked)	926	RICE	2	
259	Chen-2013-888-260	糯米		rice (glutinous)	rice (glutinous)	rice (glutinous)		2750	GLUTINOUS RICE	2	
260	Chen-2013-888-261	饭	熟(饭~)	cooked, be (rice) / done			cooked, be (rice) / done	1191	COOKED RICE	2	
261	Chen-2013-888-262	粥		congee				2049	CONGEE	2	
262	Chen-2013-888-263	粑粑		Baba (think, round heavy bread)							add Baba
263	Chen-2013-888-264	面粉	面粉	flour	flour	flour	flour	1594	FLOUR	2	
264	Chen-2013-888-265	肉		meat	meat	meat		2615	FLESH OR MEAT	2	
265	Chen-2013-888-266	牛肉		beef				2570	BEEF		
266	Chen-2013-888-267	羊肉		lamb							add lamb meat
267	Chen-2013-888-268	猪肉		pork				2769	PORK		
268	Chen-2013-888-269	肥肉		meat (with fat)				2449	FAT (OF MEAT AND FOOD)	2	
269	Chen-2013-888-270	瘦肉		meat (lean)	meat (lean)	meat (lean)		2219	LEAN (MEAT)		
270	Chen-2013-888-271	猪油						2557	PIG FAT	2	
271	Chen-2013-888-272	菜油	清油	oil (vegetable)			oil (vegetable)	2555	OIL (FROM PLANTS)		
272	Chen-2013-888-273	盐	盐	salt	salt	salt	salt	1274	SALT	2	
273	Chen-2013-888-274	糖	糖	sugar	sugar	sugar (honey)||sugar (brown)||sugar	sugar	862	SUGAR	2	
274	Chen-2013-888-275	白糖		refined sugar							add white sugar
275	Chen-2013-888-276	红糖		brown sugar						2	add brown sugar
276	Chen-2013-888-277	蛋	蛋(鸡~)	egg			egg	744	EGG	2	
277	Chen-2013-888-278	蛋白		egg white							
278	Chen-2013-888-279	蛋黄		egg yolk				1556	YOLK		
279	Chen-2013-888-280	壳儿		shell				598	SHELL		
280	Chen-2013-888-281	豆腐		tofu, make out of soybean							
281	Chen-2013-888-282	汤	汤 (菜~)	soup			soup (vegetable) (note:+vegetable)	1547	SOUP	2	
