ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS
10507	chuanqiandiansouthernguizhou-Chen-2013-888-434-1		chuanqiandiansouthernguizhou	Chen-2013-888-434	tɕaŋ¹³	tɕaŋ¹³	tɕ a ŋ ¹³		Chen2013			七	1704	SEVEN	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	七	tɕaŋ¹³	2 7 4 8	AXLT	CAN2	6	6.C.C 6.A.V 6.N.c 6.2.T	1.6 3.0 1.1 1.0	0	5
10508	chuanqiandiannortheastyunnan-Chen-2013-888-434-1		chuanqiandiannortheastyunnan	Chen-2013-888-434	ɕaɯ³³	ɕaɯ³³	ɕ a ɯ ³³		Chen2013			七	1704	SEVEN	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	七	ɕaɯ³³	3 7 7 8	AXYT	SAI4	5	5.S.C 5.A.V 5.I.V 5.4.T	1.6 3.0 3.0 1.0	0	6
10512	qiandongeast-Chen-2013-888-434-1		qiandongeast	Chen-2013-888-434	ɕuŋ⁵³	ɕuŋ⁵³	ɕ u ŋ ⁵³		Chen2013			七	1704	SEVEN	Qiandong, East	east2370					Qiandong, East	七	ɕuŋ⁵³	3 7 4 8	AXLT	SYN3	9	9.S.C 9.Y.V 9.N.c 9.3.T	1.6 3.0 1.1 1.0	0	5
10514	qiandongwest-Chen-2013-888-434-1		qiandongwest	Chen-2013-888-434	ɕuŋ²²	ɕuŋ²²	ɕ u ŋ ²²		Chen2013			七	1704	SEVEN	Qiandong, West						Qiandong, West	七	ɕuŋ²²	3 7 4 8	AXLT	SYN1	10	10.S.C 10.Y.V 10.N.c 10.1.T	1.6 3.0 1.1 1.0	0	5
10515	bahengwest-Chen-2013-888-434-1		bahengwest	Chen-2013-888-434	tɕaŋ⁴⁴	tɕaŋ⁴⁴	tɕ a ŋ ⁴⁴		Chen2013			七	1704	SEVEN	Baheng, West	pahn1237					Baheng, West	七	tɕaŋ⁴⁴	2 7 4 8	AXLT	CAN5	2	2.C.C 2.A.V 2.N.c 2.5.T	1.6 3.0 1.1 1.0	0	5
10516	bahengeast-Chen-2013-888-434-1		bahengeast	Chen-2013-888-434	tɕa³¹	tɕa³¹	tɕ a ³¹		Chen2013			七	1704	SEVEN	Baheng, East	pahn1237					Baheng, East	七	tɕa³¹	2 7 8	AXT	CA3	1	1.C.C 1.A.V 1.3.T	1.6 3.0 1.0	0	4
1915	luobuoheeastern-Chen-2013-888-79-1		luobuoheeastern	Chen-2013-888-79	qo⁰⁵ʐuŋ⁵⁵	qo⁰⁵ʐuŋ⁵⁵	q o ⁵/⁰ + ʐ u ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	丈夫	qo⁵/⁰+ʐuŋ⁵⁵	1 7 8 9 3 7 4 8	AXT_AXLT	KU6_SYN5	7	7.K.C 7.U.V 7.6.T 7._._ 7.S.C 7.Y.V 7.N.c 7.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	12 15
1919	chuanqiandiansouthernguizhou-Chen-2013-888-79-1		chuanqiandiansouthernguizhou	Chen-2013-888-79	ʂəŋ¹¹	ʂəŋ¹¹	ʂ ə ŋ ¹¹		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	丈夫	ʂəŋ¹¹	3 7 4 8	AXLT	SEN1	6	6.S.C 6.E.V 6.N.c 6.1.T	1.6 3.0 1.1 1.0	0	15
1920	chuanqiandiannortheastyunnan-Chen-2013-888-79-1		chuanqiandiannortheastyunnan	Chen-2013-888-79	vau⁵⁵	vau⁵⁵	v au ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	丈夫	vau⁵⁵	3 7 8	AXT	BA5	5	5.B.C 5.A.V 5.5.T	1.6 3.0 1.0	1	14
1924	qiandongeast-Chen-2013-888-79-1		qiandongeast	Chen-2013-888-79	ʑo¹³	ʑo¹³	ʑ o ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, East	east2370					Qiandong, East	丈夫	ʑo¹³	3 7 8	AXT	SU2	9	9.S.C 9.U.V 9.2.T	1.6 3.0 1.0	0	16
1926	qiandongwest-Chen-2013-888-79-1		qiandongwest	Chen-2013-888-79	ɣɔ¹³	ɣɔ¹³	ɣ ɔ ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, West						Qiandong, West	丈夫	ɣɔ¹³	3 7 8	AXT	GU2	10	10.G.C 10.U.V 10.2.T	1.6 3.0 1.0	0	17
1927	bahengwest-Chen-2013-888-79-1		bahengwest	Chen-2013-888-79	ʔa⁰³wei³¹	ʔa⁰³wei³¹	ʔ a ³/⁰ + w ei ³¹		Chen2013			丈夫	1200	HUSBAND	Baheng, West	pahn1237					Baheng, West	丈夫	ʔa³/⁰+wei³¹	1 7 8 9 6 7 8	AXT_AXT	HA6_WE3	2	2.H.C 2.A.V 2.6.T 2._._ 2.W.C 2.E.V 2.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	9 10
1928	bahengeast-Chen-2013-888-79-1		bahengeast	Chen-2013-888-79	tɕi³¹nai³³	tɕi³¹nai³³	tɕ i ³¹ + n ai ³³		Chen2013			丈夫	1200	HUSBAND	Baheng, East	pahn1237					Baheng, East	丈夫	tɕi³¹+nai³³	2 7 8 9 4 7 8	AXT_AXT	CI3_NA4	1	1.C.C 1.I.V 1.3.T 1._._ 1.N.C 1.A.V 1.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	7 8
1916	luobuohewestern-Chen-2013-888-79-1		luobuohewestern	Chen-2013-888-79	ʔə⁰²ʐoŋ⁵⁵	ʔə⁰²ʐoŋ⁵⁵	ʔ ə ²/⁰ + ʐ o ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Western	luop1235					Luobuohe, Western	丈夫	ʔə²/⁰+ʐoŋ⁵⁵	1 7 8 9 3 7 4 8	AXT_AXLT	HE6_SUN5	8	8.H.C 8.E.V 8.6.T 8._._ 8.S.C 8.U.V 8.N.c 8.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	9 15
1917	chuanqiandian-Chen-2013-888-79-1		chuanqiandian	Chen-2013-888-79	ʑeu¹³; vou⁵⁵	ʑeu¹³	ʑ eu ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian	chua1256					Chuanqiandian	丈夫	ʑeu¹³	3 7 8	AXT	SE2	3	3.S.C 3.E.V 3.2.T	1.6 3.0 1.0	0	11
1918	chuanqiandiancentralguizhou-Chen-2013-888-79-1		chuanqiandiancentralguizhou	Chen-2013-888-79	qə⁰²pa¹³	qə⁰²pa¹³	q ə ²/⁰ + p a ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	丈夫	qə²/⁰+pa¹³	1 7 8 9 1 7 8	AXT_AXT	KE6_PA2	4	4.K.C 4.E.V 4.6.T 4._._ 4.P.C 4.A.V 4.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	12 13
10403	luobuoheeastern-Chen-2013-888-430-1		luobuoheeastern	Chen-2013-888-430	pzi³¹	pzi³¹	p z i ³¹		Chen2013			三	492	THREE	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	三	pzi³¹	1 3 7 8	ACXT	PSI3	7	7.P.C 7.S.C 7.I.V 7.3.T	1.6 1.2 3.0 1.0	0	18
10404	luobuohewestern-Chen-2013-888-430-1		luobuohewestern	Chen-2013-888-430	pji³¹	pji³¹	p j i ³¹		Chen2013			三	492	THREE	Luobuohe, Western	luop1235					Luobuohe, Western	三	pji³¹	1 6 7 8	ACXT	PJI3	8	8.P.C 8.J.C 8.I.V 8.3.T	1.6 1.2 3.0 1.0	0	18
10405	chuanqiandian-Chen-2013-888-430-1		chuanqiandian	Chen-2013-888-430	pe⁴³	pe⁴³	p e ⁴³		Chen2013			三	492	THREE	Chuanqiandian	chua1256					Chuanqiandian	三	pe⁴³	1 7 8	AXT	PE3	3	3.P.C 3.E.V 3.3.T	1.6 3.0 1.0	0	18
10406	chuanqiandiancentralguizhou-Chen-2013-888-430-1		chuanqiandiancentralguizhou	Chen-2013-888-430	pɛ²⁴	pɛ²⁴	p ɛ ²⁴		Chen2013			三	492	THREE	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	三	pɛ²⁴	1 7 8	AXT	PE2	4	4.P.C 4.E.V 4.2.T	1.6 3.0 1.0	0	18
10407	chuanqiandiansouthernguizhou-Chen-2013-888-430-1		chuanqiandiansouthernguizhou	Chen-2013-888-430	pæ³²	pæ³²	p æ ³²		Chen2013			三	492	THREE	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	三	pæ³²	1 7 8	AXT	PE3	6	6.P.C 6.E.V 6.3.T	1.6 3.0 1.0	0	18
10408	chuanqiandiannortheastyunnan-Chen-2013-888-430-1		chuanqiandiannortheastyunnan	Chen-2013-888-430	tsɿ⁵⁵	tsɿ⁵⁵	ts ɿ ⁵⁵		Chen2013			三	492	THREE	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	三	tsɿ⁵⁵	2 7 8	AXT	CI5	5	5.C.C 5.I.V 5.5.T	1.6 3.0 1.0	1	19
10412	qiandongeast-Chen-2013-888-430-1		qiandongeast	Chen-2013-888-430	pɛ²⁴	pɛ²⁴	p ɛ ²⁴		Chen2013			三	492	THREE	Qiandong, East	east2370					Qiandong, East	三	pɛ²⁴	1 7 8	AXT	PE2	9	9.P.C 9.E.V 9.2.T	1.6 3.0 1.0	0	18
10414	qiandongwest-Chen-2013-888-430-1		qiandongwest	Chen-2013-888-430	poi⁴⁴	poi⁴⁴	p o i ⁴⁴		Chen2013			三	492	THREE	Qiandong, West						Qiandong, West	三	poi⁴⁴	1 7 7 8	AXYT	PUI5	10	10.P.C 10.U.V 10.I.V 10.5.T	1.6 3.0 3.0 1.0	1	18
10415	bahengwest-Chen-2013-888-430-1		bahengwest	Chen-2013-888-430	po³⁵	po³⁵	p o ³⁵		Chen2013			三	492	THREE	Baheng, West	pahn1237					Baheng, West	三	po³⁵	1 7 8	AXT	PU2	2	2.P.C 2.U.V 2.2.T	1.6 3.0 1.0	0	18
10416	bahengeast-Chen-2013-888-430-1		bahengeast	Chen-2013-888-430	po³⁵	po³⁵	p o ³⁵		Chen2013			三	492	THREE	Baheng, East	pahn1237					Baheng, East	三	po³⁵	1 7 8	AXT	PU2	1	1.P.C 1.U.V 1.2.T	1.6 3.0 1.0	0	18
2238	luobuoheeastern-Chen-2013-888-92-1		luobuoheeastern	Chen-2013-888-92	qo⁰⁵ze³³	qo⁰⁵ze³³	q o ⁵/⁰ + z e ³³		Chen2013			下巴	1510	CHIN	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	下巴	qo⁵/⁰+ze³³	1 7 8 9 3 7 8	AXT_AXT	KU6_SE4	7	7.K.C 7.U.V 7.6.T 7._._ 7.S.C 7.E.V 7.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	25 21
2240	chuanqiandian-Chen-2013-888-92-1		chuanqiandian	Chen-2013-888-92	pua⁴³tʂai¹³	pua⁴³tʂai¹³	p ua ⁴³ + t ʂ ai ¹³		Chen2013			下巴	1510	CHIN	Chuanqiandian	chua1256					Chuanqiandian	下巴	pua⁴³+tʂai¹³	1 7 8 9 1 3 7 8	AXT_ACXT	PY3_TSA2	3	3.P.C 3.Y.V 3.3.T 3._._ 3.T.C 3.S.C 3.A.V 3.2.T	1.6 3.0 1.0 0.0 1.6 1.2 3.0 1.0	0	24 21
2242	chuanqiandiansouthernguizhou-Chen-2013-888-92-1		chuanqiandiansouthernguizhou	Chen-2013-888-92	tɕi²²se³²	tɕi²²se³²	tɕ i ²² + s e ³²		Chen2013			下巴	1510	CHIN	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	下巴	tɕi²²+se³²	2 7 8 9 3 7 8	AXT_AXT	CI1_SE3	6	6.C.C 6.I.V 6.1.T 6._._ 6.S.C 6.E.V 6.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	27 21
2249	qiandongwest-Chen-2013-888-92-1		qiandongwest	Chen-2013-888-92	qa³³ɕe⁵³	qa³³ɕe⁵³	q a ³³ + ɕ e ⁵³		Chen2013			下巴	1510	CHIN	Qiandong, West						Qiandong, West	下巴	qa³³+ɕe⁵³	1 7 8 9 3 7 8	AXT_AXT	KA4_SE3	10	10.K.C 10.A.V 10.4.T 10._._ 10.S.C 10.E.V 10.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	25 21
2250	bahengwest-Chen-2013-888-92-1		bahengwest	Chen-2013-888-92	ʔa⁰³ŋo³³tɕei⁴²	ʔa⁰³ŋo³³tɕei⁴²	ʔ a ³/⁰ + ŋ o ³³ + tɕ ei ⁴²		Chen2013			下巴	1510	CHIN	Baheng, West	pahn1237					Baheng, West	下巴	ʔa³/⁰+ŋo³³+tɕei⁴²	1 7 8 9 4 7 8 9 2 7 8	AXT_AXT_AXT	HA6_NU4_CE3	2	2.H.C 2.A.V 2.6.T 2._._ 2.N.C 2.U.V 2.4.T 2._._ 2.C.C 2.E.V 2.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	22 23 21
2251	bahengeast-Chen-2013-888-92-1		bahengeast	Chen-2013-888-92	ʑuŋ³³tɕʰi³¹	ʑuŋ³³tɕʰi³¹	ʑ u ŋ ³³ + tɕʰ i ³¹		Chen2013			下巴	1510	CHIN	Baheng, East	pahn1237					Baheng, East	下巴	ʑuŋ³³+tɕʰi³¹	3 7 4 8 9 2 7 8	AXLT_AXT	SYN4_CI3	1	1.S.C 1.Y.V 1.N.c 1.4.T 1._._ 1.C.C 1.I.V 1.3.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	20 21
2239	luobuohewestern-Chen-2013-888-92-1		luobuohewestern	Chen-2013-888-92	ʔə⁰²qe³¹ze⁵⁵	ʔə⁰²qe³¹ze⁵⁵	ʔ ə ²/⁰ + q e ³¹ + z e ⁵⁵		Chen2013			下巴	1510	CHIN	Luobuohe, Western	luop1235					Luobuohe, Western	下巴	ʔə²/⁰+qe³¹+ze⁵⁵	1 7 8 9 1 7 8 9 3 7 8	AXT_AXT_AXT	HE6_KE3_SE5	8	8.H.C 8.E.V 8.6.T 8._._ 8.K.C 8.E.V 8.3.T 8._._ 8.S.C 8.E.V 8.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	22 28 21
2241	chuanqiandiancentralguizhou-Chen-2013-888-92-1		chuanqiandiancentralguizhou	Chen-2013-888-92	qə⁰²se⁵⁵	qə⁰²se⁵⁵	q ə ²/⁰ + s e ⁵⁵		Chen2013			下巴	1510	CHIN	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	下巴	qə²/⁰+se⁵⁵	1 7 8 9 3 7 8	AXT_AXT	KE6_SE5	4	4.K.C 4.E.V 4.6.T 4._._ 4.S.C 4.E.V 4.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	25 21
2243	chuanqiandiannortheastyunnan-Chen-2013-888-92-1		chuanqiandiannortheastyunnan	Chen-2013-888-92	qa⁵³dʑɦai¹¹	qa⁵³dʑɦai¹¹	q a ⁵³ + d ʑ ɦ ai ¹¹		Chen2013			下巴	1510	CHIN	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	下巴	qa⁵³+dʑɦai¹¹	1 7 8 9 1 3 3 7 8	AXT_ACBXT	KA3_TSHA1	5	5.K.C 5.A.V 5.3.T 5._._ 5.T.C 5.S.C 5.H.C 5.A.V 5.1.T	1.6 3.0 1.0 0.0 1.6 1.2 1.3 3.0 1.0	0	26 21
2247	qiandongeast-Chen-2013-888-92-1		qiandongeast	Chen-2013-888-92	ha⁵³pa²²	ha⁵³pa²²	h a ⁵³ + p a ²²		Chen2013			下巴	1510	CHIN	Qiandong, East	east2370					Qiandong, East	下巴	ha⁵³+pa²²	3 7 8 9 1 7 8	AXT_AXT	HA3_PA1	9	9.H.C 9.A.V 9.3.T 9._._ 9.P.C 9.A.V 9.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	22 29
11604	luobuoheeastern-Chen-2013-888-479-1		luobuoheeastern	Chen-2013-888-479	tə⁰²qʰaŋ⁵⁵	tə⁰²qʰaŋ⁵⁵	t ə ²/⁰ + qʰ a ŋ ⁵⁵		Chen2013			下边	1485	BELOW OR UNDER	Luobuohe, Eastern	luop1235					Luobuohe, Eastern	下边	tə²/⁰+qʰaŋ⁵⁵	1 7 8 9 1 7 4 8	AXT_AXLT	TE6_KAN5	7	7.T.C 7.E.V 7.6.T 7._._ 7.K.C 7.A.V 7.N.c 7.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	38 39
11605	luobuohewestern-Chen-2013-888-479-1		luobuohewestern	Chen-2013-888-479	χə⁵⁵ti³¹	χə⁵⁵ti³¹	χ ə ⁵⁵ + t i ³¹		Chen2013			下边	1485	BELOW OR UNDER	Luobuohe, Western	luop1235					Luobuohe, Western	下边	χə⁵⁵+ti³¹	3 7 8 9 1 7 8	AXT_AXT	GE5_TI3	8	8.G.C 8.E.V 8.5.T 8._._ 8.T.C 8.I.V 8.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	40 32
11606	chuanqiandian-Chen-2013-888-479-1		chuanqiandian	Chen-2013-888-479	tɕe³¹	tɕe³¹	tɕ e ³¹		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian	chua1256					Chuanqiandian	下边	tɕe³¹	2 7 8	AXT	CE3	3	3.C.C 3.E.V 3.3.T	1.6 3.0 1.0	0	34
11607	chuanqiandiancentralguizhou-Chen-2013-888-479-1		chuanqiandiancentralguizhou	Chen-2013-888-479	kɛ¹³to²²	kɛ¹³to²²	k ɛ ¹³ + t o ²²		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian, Central Guizhou	nort2749					Chuanqiandian, Central Guizhou	下边	kɛ¹³+to²²	1 7 8 9 1 7 8	AXT_AXT	KE2_TU1	4	4.K.C 4.E.V 4.2.T 4._._ 4.T.C 4.U.V 4.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	35 32
11608	chuanqiandiansouthernguizhou-Chen-2013-888-479-1		chuanqiandiansouthernguizhou	Chen-2013-888-479	ha⁴⁴to¹³	ha⁴⁴to¹³	h a ⁴⁴ + t o ¹³		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian, Southern Guizhou	cent1394					Chuanqiandian, Southern Guizhou	下边	ha⁴⁴+to¹³	3 7 8 9 1 7 8	AXT_AXT	HA5_TU2	6	6.H.C 6.A.V 6.5.T 6._._ 6.T.C 6.U.V 6.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	37 32
11609	chuanqiandiannortheastyunnan-Chen-2013-888-479-1		chuanqiandiannortheastyunnan	Chen-2013-888-479	pi⁵⁵dau⁵³	pi⁵⁵dau⁵³	p i ⁵⁵ + d au ⁵³		Chen2013			下边	1485	BELOW OR UNDER	Chuanqiandian, Northeast Yunnan	larg1235					Chuanqiandian, Northeast Yunnan	下边	pi⁵⁵+dau⁵³	1 7 8 9 1 7 8	AXT_AXT	PI5_TA3	5	5.P.C 5.I.V 5.5.T 5._._ 5.T.C 5.A.V 5.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	36 32
11613	qiandongeast-Chen-2013-888-479-1		qiandongeast	Chen-2013-888-479	qɛ²⁴tɕi³³	qɛ²⁴tɕi³³	q ɛ ²⁴ + tɕ i ³³		Chen2013			下边	1485	BELOW OR UNDER	Qiandong, East	east2370					Qiandong, East	下边	qɛ²⁴+tɕi³³	1 7 8 9 2 7 8	AXT_AXT	KE2_CI4	9	9.K.C 9.E.V 9.2.T 9._._ 9.C.C 9.I.V 9.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	35 41
11615	qiandongwest-Chen-2013-888-479-1		qiandongwest	Chen-2013-888-479	xʰæ̃⁴⁴ɬæ̃⁵⁵	xʰæ̃⁴⁴ɬæ̃⁵⁵	xʰ æ̃ ⁴⁴ + ɬ æ̃ ⁵⁵		Chen2013			下边	1485	BELOW OR UNDER	Qiandong, West						Qiandong, West	下边	xʰæ̃⁴⁴+ɬæ̃⁵⁵	3 7 8 9 5 7 8	AXT_AXT	GE5_LE5	10	10.G.C 10.E.V 10.5.T 10._._ 10.L.C 10.E.V 10.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	40 30
