ID	ID	LOCAL_ID	LANGUAGE_ID	PARAMETER_ID	VALUE	FORM	SEGMENTS	COMMENT	SOURCE	COGNACY	LOAN	CONCEPT_NAME	CONCEPT_CONCEPTICON_ID	CONCEPT_CONCEPTICON_GLOSS	LANGUAGE_NAME	LANGUAGE_GLOTTOCODE	LANGUAGE_GLOTTOLOG_NAME	LANGUAGE_ISO639P3CODE	LANGUAGE_MACROAREA	LANGUAGE_FAMILY	DOCULECT	CONCEPT	IPA	SONARS	PROSTRINGS	CLASSES	LANGID	NUMBERS	WEIGHTS	DUPLICATES	COGIDS	STRUCTURE	ALIGNMENT	TOKENS	CROSSIDS
10508	chuanqiandiannortheastyunnan-Chen-2013-888-434-1		chuanqiandiannortheastyunnan	Chen-2013-888-434	ɕaɯ³³	ɕaɯ³³	ɕ aɯ ³³		Chen2013			七	1704	SEVEN	Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	七	ɕaɯ³³	3 7 8	AXT	SA4	5	5.S.C 5.A.V 5.4.T	1.6 3.0 1.0	1	3	i n t	ɕ aɯ - ³³	ɕ aɯ ³³	3
10512	qiandongeast-Chen-2013-888-434-1		qiandongeast	Chen-2013-888-434	ɕuŋ⁵³	ɕuŋ⁵³	ɕ u ŋ ⁵³		Chen2013			七	1704	SEVEN	Qiandong, East	east2370					qiandongeast	七	ɕuŋ⁵³	3 7 4 8	AXLT	SYN3	9	9.S.C 9.Y.V 9.N.c 9.3.T	1.6 3.0 1.1 1.0	0	3	i n c t	ɕ u ŋ ⁵³	ɕ u ŋ ⁵³	3
10514	qiandongwest-Chen-2013-888-434-1		qiandongwest	Chen-2013-888-434	ɕuŋ²²	ɕuŋ²²	ɕ u ŋ ²²		Chen2013			七	1704	SEVEN	Qiandong, West						qiandongwest	七	ɕuŋ²²	3 7 4 8	AXLT	SYN1	10	10.S.C 10.Y.V 10.N.c 10.1.T	1.6 3.0 1.1 1.0	0	3	i n c t	ɕ u ŋ ²²	ɕ u ŋ ²²	3
10515	bahengwest-Chen-2013-888-434-1		bahengwest	Chen-2013-888-434	tɕaŋ⁴⁴	tɕaŋ⁴⁴	tɕ a ŋ ⁴⁴		Chen2013			七	1704	SEVEN	Baheng, West	pahn1237					bahengwest	七	tɕaŋ⁴⁴	2 7 4 8	AXLT	CAN5	2	2.C.C 2.A.V 2.N.c 2.5.T	1.6 3.0 1.1 1.0	0	3	i n c t	tɕ a ŋ ⁴⁴	t ɕ a ŋ ⁴⁴	3
10516	bahengeast-Chen-2013-888-434-1		bahengeast	Chen-2013-888-434	tɕa³¹	tɕa³¹	tɕ a ³¹		Chen2013			七	1704	SEVEN	Baheng, East	pahn1237					bahengeast	七	tɕa³¹	2 7 8	AXT	CA3	1	1.C.C 1.A.V 1.3.T	1.6 3.0 1.0	0	3	i n t	tɕ a - ³¹	t ɕ a ³¹	3
12195	luobuoheeastern-Chen-2013-888-503-1		luobuoheeastern	Chen-2013-888-503	ɬa²⁴nen⁵⁵	ɬa²⁴nen⁵⁵	ɬ a ²⁴ + n e n ⁵⁵		Chen2013			七月	2850	JULY	Luobuohe, Eastern	luop1235					luobuoheeastern	七月	ɬa²⁴+nen⁵⁵	5 7 8 9 4 7 4 8	AXT_AXLT	LA2_NEN5	7	7.L.C 7.A.V 7.2.T 7._._ 7.N.C 7.E.V 7.N.c 7.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	5 4	i n t + i n c t	ɬ a ²⁴ + n e n ⁵⁵	ɬ a ²⁴ + n e n ⁵⁵	25 4
12196	luobuohewestern-Chen-2013-888-503-1		luobuohewestern	Chen-2013-888-503	ɬɑ³⁵nen⁵⁵	ɬɑ³⁵nen⁵⁵	ɬ ɑ ³⁵ + n e n ⁵⁵		Chen2013			七月	2850	JULY	Luobuohe, Western	luop1235					luobuohewestern	七月	ɬɑ³⁵+nen⁵⁵	5 7 8 9 4 7 4 8	AXT_AXLT	LA2_NEN5	8	8.L.C 8.A.V 8.2.T 8._._ 8.N.C 8.E.V 8.N.c 8.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	5 4	i n t + i n c t	ɬ ɑ ³⁵ + n e n ⁵⁵	ɬ ɑ ³⁵ + n e n ⁵⁵	25 4
12197	chuanqiandian-Chen-2013-888-503-1		chuanqiandian	Chen-2013-888-503	ɕaŋ⁴⁴ɬi⁴⁴	ɕaŋ⁴⁴ɬi⁴⁴	ɕ a ŋ ⁴⁴ + ɬ i ⁴⁴		Chen2013			七月	2850	JULY	Chuanqiandian	chua1256					chuanqiandian	七月	ɕaŋ⁴⁴+ɬi⁴⁴	3 7 4 8 9 5 7 8	AXLT_AXT	SAN5_LI5	3	3.S.C 3.A.V 3.N.c 3.5.T 3._._ 3.L.C 3.I.V 3.5.T	1.6 3.0 1.1 1.0 0.0 1.6 3.0 1.0	0	4 6	i n c t + i n t	ɕ a ŋ ⁴⁴ + ɬ i ⁴⁴	ɕ a ŋ ⁴⁴ + ɬ i ⁴⁴	4 6
12198	chuanqiandiancentralguizhou-Chen-2013-888-503-1		chuanqiandiancentralguizhou	Chen-2013-888-503	tɬɛ¹³ɬa⁴²	tɬɛ¹³ɬa⁴²	tɬ ɛ ¹³ + ɬ a ⁴²		Chen2013			七月	2850	JULY	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	七月	tɬɛ¹³+ɬa⁴²	1 7 8 9 5 7 8	AXT_AXT	TE2_LA3	4	4.T.C 4.E.V 4.2.T 4._._ 4.L.C 4.A.V 4.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	7 6	i n t + i n t	tɬ ɛ ¹³ + ɬ a ⁴²	t ɬ ɛ ¹³ + ɬ a ⁴²	7 6
12199	chuanqiandiansouthernguizhou-Chen-2013-888-503-1		chuanqiandiansouthernguizhou	Chen-2013-888-503	ɬæ⁴²li³⁵	ɬæ⁴²li³⁵	ɬ æ ⁴² + l i ³⁵		Chen2013			七月	2850	JULY	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	七月	ɬæ⁴²+li³⁵	5 7 8 9 5 7 8	AXT_AXT	LE3_LI2	6	6.L.C 6.E.V 6.3.T 6._._ 6.L.C 6.I.V 6.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	5 6	i n t + i n t	ɬ æ ⁴² + l i ³⁵	ɬ æ ⁴² + l i ³⁵	25 6
12200	chuanqiandiannortheastyunnan-Chen-2013-888-503-1		chuanqiandiannortheastyunnan	Chen-2013-888-503	lu⁵⁵ɕaɯ¹¹ɬi³³	lu⁵⁵ɕaɯ¹¹ɬi³³	l u ⁵⁵ + ɕ aɯ ¹¹ + ɬ i ³³		Chen2013			七月	2850	JULY	Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	七月	lu⁵⁵+ɕaɯ¹¹+ɬi³³	5 7 8 9 3 7 8 9 5 7 8	AXT_AXT_AXT	LY5_SA1_LI4	5	5.L.C 5.Y.V 5.5.T 5._._ 5.S.C 5.A.V 5.1.T 5._._ 5.L.C 5.I.V 5.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	5 4 6	i n t + i n t + i n t	l u ⁵⁵ + ɕ aɯ - ¹¹ + ɬ i ³³	l u ⁵⁵ + ɕ aɯ ¹¹ + ɬ i ³³	25 4 6
12204	qiandongeast-Chen-2013-888-503-1		qiandongeast	Chen-2013-888-503	la⁴⁴ɕuŋ⁵³	la⁴⁴ɕuŋ⁵³	l a ⁴⁴ + ɕ u ŋ ⁵³		Chen2013			七月	2850	JULY	Qiandong, East	east2370					qiandongeast	七月	la⁴⁴+ɕuŋ⁵³	5 7 8 9 3 7 4 8	AXT_AXLT	LA5_SYN3	9	9.L.C 9.A.V 9.5.T 9._._ 9.S.C 9.Y.V 9.N.c 9.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	5 4	i n t + i n c t	l a ⁴⁴ + ɕ u ŋ ⁵³	l a ⁴⁴ + ɕ u ŋ ⁵³	25 4
12206	qiandongwest-Chen-2013-888-503-1		qiandongwest	Chen-2013-888-503	la³³ɕuŋ²²	la³³ɕuŋ²²	l a ³³ + ɕ u ŋ ²²		Chen2013			七月	2850	JULY	Qiandong, West						qiandongwest	七月	la³³+ɕuŋ²²	5 7 8 9 3 7 4 8	AXT_AXLT	LA4_SYN1	10	10.L.C 10.A.V 10.4.T 10._._ 10.S.C 10.Y.V 10.N.c 10.1.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	5 4	i n t + i n c t	l a ³³ + ɕ u ŋ ²²	l a ³³ + ɕ u ŋ ²²	25 4
12207	bahengwest-Chen-2013-888-503-1		bahengwest	Chen-2013-888-503	ɬa⁵⁵tɕaŋ⁴⁴	ɬa⁵⁵tɕaŋ⁴⁴	ɬ a ⁵⁵ + tɕ a ŋ ⁴⁴		Chen2013			七月	2850	JULY	Baheng, West	pahn1237					bahengwest	七月	ɬa⁵⁵+tɕaŋ⁴⁴	5 7 8 9 2 7 4 8	AXT_AXLT	LA5_CAN5	2	2.L.C 2.A.V 2.5.T 2._._ 2.C.C 2.A.V 2.N.c 2.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	5 4	i n t + i n c t	ɬ a ⁵⁵ + tɕ a ŋ ⁴⁴	ɬ a ⁵⁵ + t ɕ a ŋ ⁴⁴	25 4
12208	bahengeast-Chen-2013-888-503-1		bahengeast	Chen-2013-888-503	ɕi³⁵ȵe³¹	ɕi³⁵ȵe³¹	ɕ i ³⁵ + ȵ e ³¹		Chen2013			七月	2850	JULY	Baheng, East	pahn1237					bahengeast	七月	ɕi³⁵+ȵe³¹	3 7 8 9 4 7 8	AXT_AXT	SI2_NE3	1	1.S.C 1.I.V 1.2.T 1._._ 1.N.C 1.E.V 1.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	8 6	i n t + i n t	ɕ i ³⁵ + ȵ e ³¹	ɕ i ³⁵ + ȵ e ³¹	8 6
11301	bahengeast-Chen-2013-888-466-1		bahengeast	Chen-2013-888-466	ɕaŋ⁵³	ɕaŋ⁵³	ɕ a ŋ ⁵³		Chen2013			丈			Baheng, East	pahn1237					bahengeast	丈	ɕaŋ⁵³	3 7 4 8	AXLT	SAN3	1	1.S.C 1.A.V 1.N.c 1.3.T	1.6 3.0 1.1 1.0	0	9	i n c t	ɕ a ŋ ⁵³	ɕ a ŋ ⁵³	9
11290	luobuoheeastern-Chen-2013-888-466-1		luobuoheeastern	Chen-2013-888-466	tsaŋ³³	tsaŋ³³	ts a ŋ ³³		Chen2013			丈			Luobuohe, Eastern	luop1235					luobuoheeastern	丈	tsaŋ³³	2 7 4 8	AXLT	CAN4	7	7.C.C 7.A.V 7.N.c 7.4.T	1.6 3.0 1.1 1.0	0	9	i n c t	ts a ŋ ³³	t s a ŋ ³³	9
11291	luobuohewestern-Chen-2013-888-466-1		luobuohewestern	Chen-2013-888-466	tsɑŋ³¹	tsɑŋ³¹	ts ɑ ŋ ³¹		Chen2013			丈			Luobuohe, Western	luop1235					luobuohewestern	丈	tsɑŋ³¹	2 7 4 8	AXLT	CAN3	8	8.C.C 8.A.V 8.N.c 8.3.T	1.6 3.0 1.1 1.0	0	9	i n c t	ts ɑ ŋ ³¹	t s ɑ ŋ ³¹	9
11292	chuanqiandian-Chen-2013-888-466-1		chuanqiandian	Chen-2013-888-466	tʂaŋ²⁴	tʂaŋ²⁴	tʂ a ŋ ²⁴		Chen2013			丈			Chuanqiandian	chua1256					chuanqiandian	丈	tʂaŋ²⁴	1 7 4 8	AXLT	TAN2	3	3.T.C 3.A.V 3.N.c 3.2.T	1.6 3.0 1.1 1.0	0	9	i n c t	tʂ a ŋ ²⁴	t ʂ a ŋ ²⁴	9
11293	chuanqiandiansouthernguizhou-Chen-2013-888-466-1		chuanqiandiansouthernguizhou	Chen-2013-888-466	tsaŋ¹³	tsaŋ¹³	ts a ŋ ¹³		Chen2013			丈			Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	丈	tsaŋ¹³	2 7 4 8	AXLT	CAN2	6	6.C.C 6.A.V 6.N.c 6.2.T	1.6 3.0 1.1 1.0	0	9	i n c t	ts a ŋ ¹³	t s a ŋ ¹³	9
11294	chuanqiandiannortheastyunnan-Chen-2013-888-466-1		chuanqiandiannortheastyunnan	Chen-2013-888-466	ɳdʐɦa¹¹	ɳdʐɦa¹¹	ⁿdʐʰ a ¹¹		Chen2013			丈			Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	丈	ⁿdʐʰa¹¹	1 7 8	AXT	TA1	5	5.T.C 5.A.V 5.1.T	1.6 3.0 1.0	0	10	i n t	ⁿdʐʰ a ¹¹	ⁿd ʐʰ a ¹¹	10
11299	qiandongwest-Chen-2013-888-466-1		qiandongwest	Chen-2013-888-466	tɕaŋ²²	tɕaŋ²²	tɕ a ŋ ²²		Chen2013			丈			Qiandong, West						qiandongwest	丈	tɕaŋ²²	2 7 4 8	AXLT	CAN1	10	10.C.C 10.A.V 10.N.c 10.1.T	1.6 3.0 1.1 1.0	1	9	i n c t	tɕ a ŋ ²²	t ɕ a ŋ ²²	9
11300	bahengwest-Chen-2013-888-466-1		bahengwest	Chen-2013-888-466	saŋ⁵³	saŋ⁵³	s a ŋ ⁵³		Chen2013			丈			Baheng, West	pahn1237					bahengwest	丈	saŋ⁵³	3 7 4 8	AXLT	SAN3	2	2.S.C 2.A.V 2.N.c 2.3.T	1.6 3.0 1.1 1.0	0	9	i n c t	s a ŋ ⁵³	s a ŋ ⁵³	9
1915	luobuoheeastern-Chen-2013-888-79-1		luobuoheeastern	Chen-2013-888-79	qo⁰⁵ʐuŋ⁵⁵	qo⁰⁵ʐuŋ⁵⁵	q o ⁵/⁰ + ʐ u ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Eastern	luop1235					luobuoheeastern	丈夫	qo⁵/⁰+ʐuŋ⁵⁵	1 7 8 9 3 7 4 8	AXT_AXLT	KU6_SYN5	7	7.K.C 7.U.V 7.6.T 7._._ 7.S.C 7.Y.V 7.N.c 7.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	14 11	i n t + i n c t	q o ⁵/⁰ + ʐ u ŋ ⁵⁵	q o ⁵ / ⁰ + ʐ u ŋ ⁵⁵	14 11
1916	luobuohewestern-Chen-2013-888-79-1		luobuohewestern	Chen-2013-888-79	ʔə⁰²ʐoŋ⁵⁵	ʔə⁰²ʐoŋ⁵⁵	ʔ ə ²/⁰ + ʐ o ŋ ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Luobuohe, Western	luop1235					luobuohewestern	丈夫	ʔə²/⁰+ʐoŋ⁵⁵	1 7 8 9 3 7 4 8	AXT_AXLT	HE6_SUN5	8	8.H.C 8.E.V 8.6.T 8._._ 8.S.C 8.U.V 8.N.c 8.5.T	1.6 3.0 1.0 0.0 1.6 3.0 1.1 1.0	0	13 11	i n t + i n c t	ʔ ə ²/⁰ + ʐ o ŋ ⁵⁵	ʔ ə ² / ⁰ + ʐ o ŋ ⁵⁵	13 11
1917	chuanqiandian-Chen-2013-888-79-1		chuanqiandian	Chen-2013-888-79	ʑeu¹³; vou⁵⁵	ʑeu¹³	ʑ eu ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian	chua1256					chuanqiandian	丈夫	ʑeu¹³	3 7 8	AXT	SE2	3	3.S.C 3.E.V 3.2.T	1.6 3.0 1.0	0	15	i n t	ʑ eu ¹³	ʑ eu ¹³	15
1919	chuanqiandiansouthernguizhou-Chen-2013-888-79-1		chuanqiandiansouthernguizhou	Chen-2013-888-79	ʂəŋ¹¹	ʂəŋ¹¹	ʂ ə ŋ ¹¹		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Southern Guizhou	cent1394					chuanqiandiansouthernguizhou	丈夫	ʂəŋ¹¹	3 7 4 8	AXLT	SEN1	6	6.S.C 6.E.V 6.N.c 6.1.T	1.6 3.0 1.1 1.0	0	11	i n c t	ʂ ə ŋ ¹¹	ʂ ə ŋ ¹¹	11
1920	chuanqiandiannortheastyunnan-Chen-2013-888-79-1		chuanqiandiannortheastyunnan	Chen-2013-888-79	vau⁵⁵	vau⁵⁵	v au ⁵⁵		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Northeast Yunnan	larg1235					chuanqiandiannortheastyunnan	丈夫	vau⁵⁵	3 7 8	AXT	BA5	5	5.B.C 5.A.V 5.5.T	1.6 3.0 1.0	0	12	i n t	v - au ⁵⁵	v au ⁵⁵	12
1924	qiandongeast-Chen-2013-888-79-1		qiandongeast	Chen-2013-888-79	ʑo¹³	ʑo¹³	ʑ o ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, East	east2370					qiandongeast	丈夫	ʑo¹³	3 7 8	AXT	SU2	9	9.S.C 9.U.V 9.2.T	1.6 3.0 1.0	0	15	i n t	ʑ o ¹³	ʑ o ¹³	15
1926	qiandongwest-Chen-2013-888-79-1		qiandongwest	Chen-2013-888-79	ɣɔ¹³	ɣɔ¹³	ɣ ɔ ¹³		Chen2013			丈夫	1200	HUSBAND	Qiandong, West						qiandongwest	丈夫	ɣɔ¹³	3 7 8	AXT	GU2	10	10.G.C 10.U.V 10.2.T	1.6 3.0 1.0	0	12	i n t	ɣ - ɔ ¹³	ɣ ɔ ¹³	12
1927	bahengwest-Chen-2013-888-79-1		bahengwest	Chen-2013-888-79	ʔa⁰³wei³¹	ʔa⁰³wei³¹	ʔ a ³/⁰ + w ei ³¹		Chen2013			丈夫	1200	HUSBAND	Baheng, West	pahn1237					bahengwest	丈夫	ʔa³/⁰+wei³¹	1 7 8 9 6 7 8	AXT_AXT	HA6_WE3	2	2.H.C 2.A.V 2.6.T 2._._ 2.W.C 2.E.V 2.3.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	13 12	i n t + m n t	ʔ a ³/⁰ + - w ei ³¹	ʔ a ³ / ⁰ + w ei ³¹	13 12
1918	chuanqiandiancentralguizhou-Chen-2013-888-79-1		chuanqiandiancentralguizhou	Chen-2013-888-79	qə⁰²pa¹³	qə⁰²pa¹³	q ə ²/⁰ + p a ¹³		Chen2013			丈夫	1200	HUSBAND	Chuanqiandian, Central Guizhou	nort2749					chuanqiandiancentralguizhou	丈夫	qə²/⁰+pa¹³	1 7 8 9 1 7 8	AXT_AXT	KE6_PA2	4	4.K.C 4.E.V 4.6.T 4._._ 4.P.C 4.A.V 4.2.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	14 17	i n t + i n t	q ə ²/⁰ + p a ¹³	q ə ² / ⁰ + p a ¹³	14 17
1928	bahengeast-Chen-2013-888-79-1		bahengeast	Chen-2013-888-79	tɕi³¹nai³³	tɕi³¹nai³³	tɕ i ³¹ + n ai ³³		Chen2013			丈夫	1200	HUSBAND	Baheng, East	pahn1237					bahengeast	丈夫	tɕi³¹+nai³³	2 7 8 9 4 7 8	AXT_AXT	CI3_NA4	1	1.C.C 1.I.V 1.3.T 1._._ 1.N.C 1.A.V 1.4.T	1.6 3.0 1.0 0.0 1.6 3.0 1.0	0	18 16	i n t + i n t	tɕ i ³¹ + n ai ³³	t ɕ i ³¹ + n ai ³³	18 16
10403	luobuoheeastern-Chen-2013-888-430-1		luobuoheeastern	Chen-2013-888-430	pzi³¹	pzi³¹	p z i ³¹		Chen2013			三	492	THREE	Luobuohe, Eastern	luop1235					luobuoheeastern	三	pzi³¹	1 3 7 8	ACXT	PSI3	7	7.P.C 7.S.C 7.I.V 7.3.T	1.6 1.2 3.0 1.0	0	19	i m n t	p z i ³¹	p z i ³¹	19
10404	luobuohewestern-Chen-2013-888-430-1		luobuohewestern	Chen-2013-888-430	pji³¹	pji³¹	p j i ³¹		Chen2013			三	492	THREE	Luobuohe, Western	luop1235					luobuohewestern	三	pji³¹	1 6 7 8	ACXT	PJI3	8	8.P.C 8.J.C 8.I.V 8.3.T	1.6 1.2 3.0 1.0	0	19	i m n t	p j i ³¹	p j i ³¹	19
10405	chuanqiandian-Chen-2013-888-430-1		chuanqiandian	Chen-2013-888-430	pe⁴³	pe⁴³	p e ⁴³		Chen2013			三	492	THREE	Chuanqiandian	chua1256					chuanqiandian	三	pe⁴³	1 7 8	AXT	PE3	3	3.P.C 3.E.V 3.3.T	1.6 3.0 1.0	0	19	i n t	p - e ⁴³	p e ⁴³	19
